city_id,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
119,Polyarnyye Zori,100,RU,1619126718,89,67.3661,32.4981,34.25,6.08
120,Tarko-Sale,57,RU,1619126475,79,64.9225,77.785,27.0,15.05
121,Berezovyy,100,RU,1619126721,66,51.6667,135.7,50.72,5.03
122,Cortez,75,US,1619126722,20,37.3489,-108.5859,60.8,11.5
123,Bandarbeyla,32,SO,1619126703,75,9.4942,50.8122,82.51,5.7
124,Mar del Plata,75,AR,1619126100,73,-38.0023,-57.5575,71.6,10.36
125,Ostrovnoy,100,RU,1619126726,93,68.0531,39.5131,33.8,9.15
126,Petropavlovsk-Kamchatskiy,40,RU,1619126586,81,53.0452,158.6483,37.4,8.95
127,Saint Paul Harbor,90,US,1619126712,87,57.79,-152.4072,42.8,12.66
128,Mossamedes,41,AO,1619126730,82,-15.1961,12.1522,79.38,3.09
129,Phoenixville,90,US,1619126731,34,40.1304,-75.5149,48.0,12.66
130,Puerto Ayora,20,EC,1619126694,69,-0.7393,-90.3518,82.4,19.57
131,Trelew,6,AR,1619126734,39,-43.249,-65.3051,61.74,4.88
132,Codrington,100,AU,1619126728,74,-38.2667,141.9667,54.41,9.93
133,Azare,57,NG,1619126736,11,11.6765,10.1948,87.64,7.63
134,Port Lincoln,100,AU,1619126725,72,-34.7333,135.8667,59.77,8.19
135,Laramie,1,US,1619126739,31,41.3114,-105.5911,46.99,8.05
136,Pacifica,90,US,1619126464,87,37.6138,-122.4869,57.99,6.91
137,Cape Town,75,ZA,1619126184,94,-33.9258,18.4232,63.0,11.5
138,Mogadishu,100,SO,1619126743,78,2.0371,45.3438,82.18,11.92
139,Morogoro,20,TZ,1619126744,100,-6.8167,37.6667,71.6,1.95
140,Iralaya,7,HN,1619126746,62,15.0,-83.2333,83.05,11.03
141,Ouallam,37,NE,1619126747,8,14.3188,2.0866,93.42,7.85
142,Kondol',11,RU,1619126749,48,52.8189,45.058,46.0,3.96
143,Umba,100,RU,1619126622,97,66.6871,34.3429,34.66,5.44
144,Maués,72,BR,1619126751,88,-3.3836,-57.7186,80.91,2.01
145,Faanui,10,PF,1619126618,75,-16.4833,-151.75,80.91,16.46
146,Vysokogornyy,48,RU,1619126754,83,50.1167,139.15,39.25,2.68
147,Dalvik,0,IS,1619126755,87,65.9702,-18.5286,39.2,6.91
148,Takoradze,100,GH,1619126106,85,4.8845,-1.7554,82.18,10.94
149,Lüshunkou,90,CN,1619126255,87,38.8,121.2667,51.8,17.9
150,Khatanga,99,RU,1619126690,96,71.9667,102.5,21.49,3.6
151,High Wycombe,4,GB,1619126760,75,51.6291,-0.7493,46.0,7.54
152,Otofuke,0,JP,1619126762,61,42.9917,143.2003,37.27,1.52
153,Severo-Kuril'sk,67,RU,1619126718,95,50.6789,156.125,34.66,4.88
154,Chumikan,100,RU,1619126765,98,54.7183,135.315,31.05,4.97
155,Ialibu,99,PG,1619126766,97,-6.2821,143.9935,56.84,1.79
156,Jiaocheng,0,CN,1619126768,90,24.6774,116.1389,70.05,2.55
157,Murfreesboro,1,US,1619126524,27,35.8456,-86.3903,63.0,5.75
158,Green River,20,US,1619126770,17,41.5286,-109.4662,55.0,20.71
159,Grindavik,75,IS,1619126728,87,63.8424,-22.4338,44.6,24.16
160,Todi,66,IT,1619126773,75,42.7799,12.4046,50.0,2.28
161,Acaraú,13,BR,1619126775,80,-2.8856,-40.12,79.57,7.96
162,Tiksi,100,RU,1619126721,92,71.6872,128.8694,9.05,5.17
163,Shentala,31,RU,1619126777,92,54.45,51.4833,37.27,13.4
164,Sept-Îles,90,CA,1619126779,100,50.2001,-66.3821,42.01,3.44
165,Nanortalik,65,GL,1619126256,70,60.1432,-45.2371,38.48,1.45
166,Cherskiy,100,RU,1619126711,93,68.75,161.3,20.07,12.93
167,Launceston,40,AU,1619126717,76,-41.45,147.1667,48.0,12.66
168,Trairi,18,BR,1619126054,82,-3.2778,-39.2689,78.19,5.79
169,Chapais,1,CA,1619126265,47,49.7834,-74.8492,32.0,18.41
170,Nuuk,0,GL,1619126741,56,64.1835,-51.7216,39.2,4.61
171,Pumiao,0,CN,1619126788,100,22.75,108.4833,71.6,2.24
